mobygames_id	en_wikipedia_id
feud	Feud_(video_game)
fight-night	Fight_Night_(1985_video_game)
fighters-history	Fighter%27s_History
final-assault	Final_Assault
final-blow	Final_Blow
finders-keepers	Finders_Keepers_(1985_video_game)
finest-hour	Finest_Hour_(arcade_game)
firebirds	Firebirds_(video_game)
firelord	Firelord_(video_game)
first-samurai	First_Samurai_(video_game)
fish	Fish!
flashgal	Flashgal
flicky	Flicky
flintstones_	The_Flintstones_(1988_video_game)
flip-and-flop	Flip_and_Flop
flunky	Flunky_(video_game)
fooblitzky	Fooblitzky
food-fight	Food_Fight_(video_game)
football-manager	Football_Manager_(1982_series)
forbidden-forest	Forbidden_Forest_(video_game)
forgotten-worlds	Forgotten_Worlds
formula-one	Formula_One_(1985_video_game)
fort-apocalypse	Fort_Apocalypse
fourth-protocol	The_Fourth_Protocol_(video_game)
fraction-fever	Fraction_Fever
frak	Frak!
frankenstein	Frankenstein_(video_game)
frankie-goes-to-hollywood	Frankie_Goes_to_Hollywood_(video_game)
frantic-freddie	Frantic_Freddie
frenzy____	Frenzy_(1982_video_game)
frenzy___	Frenzy_(1982_video_game)
frenzy	Frenzy_(1982_video_game)
frogger-ii-threeedeep	Frogger_II:_ThreeeDeep!
frogger	Frogger
frogrun	Frogrun!
full-throttle_	Full_Throttle_(1984_video_game)
fury__	The_Fury_(video_game)
future-knight	Future_Knight
g-loc-air-battle	G-LOC:_Air_Battle
gain-ground	Gain_Ground
galactic-empire_	Galactic_Empire_(1980_video_game)
galaga-88	Galaga_%2788
galaxian	Galaxian
galaxy-fight-universal-warriors	Galaxy_Fight:_Universal_Warriors
galaxy-force-ii	Galaxy_Force_(video_game)
galaxy-game	Galaxy_Game
gals-panic	Gals_Panic
game-of-harmony	E-Motion
game-over-ii	Game_Over_II
game-over	Game_Over_(video_game)
gang-wars	Gang_Wars_(video_game)
gaplus	Gaplus
garfield-big-fat-hairy-deal	Garfield:_Big_Fat_Hairy_Deal
garfield-winters-tail	Garfield:_Winter's_Tail
gateway-to-apshai	Gateway_to_Apshai
gateway-to-the-savage-frontier	Gateway_to_the_Savage_Frontier
gato	Gato_(video_game)
gauntlet__	Gauntlet_(Donald_R._Lebeau_video_game)
gauntlet-ii	Gauntlet_II
gauntlet-iii-the-final-quest	Gauntlet_III:_The_Final_Quest
gauntlet	Gauntlet_(1985_video_game)
gazza-ii	Gazza_II
gba-championship-basketball-two-on-two	GBA_Championship_Basketball:_Two-on-Two
gee-bee	Gee_Bee_(video_game)
gemstone-healer	Gemstone_Healer
gemstone-warrior	Gemstone_Warrior
gemx	Gem%27X
genpei-tma-den	Genpei_T%C5%8Dma_Den
germany-1985	Germany_1985
getaway_	Getaway!_(video_game)
ghettoblaster	Ghetto_Blaster_(video_game)
ghost-hunters	Ghost_Hunters_(video_game)
ghost-pilots	Ghost_Pilots
ghost-town	Ghost_Town_(video_game)
ghostbusters	Ghostbusters_(video_game)
ghosts-n-goblins	Ghosts_%27n_Goblins_(video_game)
ghouls	Ghouls_(video_game)
gi-joe-a-real-american-hero__	G.I._Joe_(arcade_game)
gift-from-the-gods	Gift_from_the_Gods
giga-wing	Giga_Wing
