mobygames_id	world_of_spectrum_id
cauldron	0000850
cauldron-ii-the-pumpkin-strikes-back	0000851
cavelon	0000856
cavemania	0000858
cavern-fighter	0000859
caves-of-doom	0000861
celtic-carnage	0006800
centi-bug	0000866
centurions-power-x-treme	0000871
cerius	0000873
chain-reaction_	0000876
challenge-of-the-gobots	0000878
champ	0000882
champions_	0000638
championship-baseball	0000884
championship-run	0000888
championship-sprint	0000890
chaos	0000894
charlie-and-the-chocolate-factory_	0000899
charlie-chaplin	0004875
chase-hq	0000903
chequered-flag	0000912
chess_	0000914
chessmaster-2000	0000922
chevy-chase	0000923
chicago-30s	0000926
chicken-chase_	0000928
chiller_	0000930
chimera	0000931
chinese-juggler	0000933
cholo	0000942
chop-n-drop	0002503
choy-lee-fut-kung-fu-warrior	0000950
chronos-a-tapestry-of-time	0000951
chubby-gristle	0000954
chuck-yeagers-advanced-flight-simulator	0000956
chuckie-egg	0000958
chuckie-egg-ii	0000959
chuckman	0000960
circus	0006083
cisco-heat-all-american-police-car-race	0000968
city-connection_	0000974
city-of-death	0000977
civil-service	0006085
civil-service-ii	0010743
cj-in-the-usa	0009322
cjs-elephant-antics	0009323
classic-muncher	0000982
classic-punter	0000983
classic-trainer	0000984
classic-trainer	0000985
claws-of-despair	0006089
clever-smart	0000987
cliff-hanger	0000989
clive-barkers-nightbreed-the-action-game	0003415
cloud-99	0006091
cluedo	0000993
cobra	0000996
cobra-force	0000999
cobras-arc	0006093
codename-mat	0001002
codename-mat-ii	0001003
coil-cop	0005232
colin-the-cleaner	0001007
coliseum	0001008
colony_	0001014
colossal-adventure	0006097
colossus-bridge-4	0001017
colossus-chess-4	0001018
colour-clash	0001019
colour-of-magic	0006100
comando-quatro	0001022
comando-tracer	0009892
combat-lynx	0001026
combat-zone_	0001032
comet-game	0001037
commando	0009325
computer-scrabble	0004375
computer-scrabble-de-luxe	0004376
con-quest	0001053
confrontation	0001043
confuzion	0001048
conquestador	0001054
contact-sam-cruise	0001055
continental-circus	0001057
contra	0002159
convoy-raider	0001062
cookie	0009326
cop-out	0001063
core	0001067
corporal-stone	0006108
corridors-of-genon	0001071
corsarios	0001074
corya-the-warrior-sage	0006109
cosa-nostra	0001076
cosmic-cruiser	0001080
cosmic-guerilla__	0001082
cosmic-pirate	0001083
cosmic-sheriff	0001084
cosmic-wartoad	0001086
cosmos	0001087
count-duckula-2-featuring-tremendous-terence	0001091
count-duckula-in-no-sax-please-were-egyptian	0001090
countdown_	0001096
crack-city	0006989
crack-down	0001109
crack-up	0001111
crazy-cars	0001121
crazy-caverns	0001126
crazy-golf	0001128
creepy-crawler	0001137
crete-1941-fallschirmjager	0001139
cricket-captain_	0001149
cricket-master	0001153
crime-santa-claus	0012789
crossfire_____	0001174
crosswize	0001168
crypt	0001178
crystal-castles	0001179
crystal-frog	0006116
crystal-kingdom-dizzy	0009339
crystal-quest	0006119
crystals-of-kings	0006120
cup	0006126
curse_	0015526
curse-of-sherwood	0001189
cyber-rats	0001192
cyberball	0001194
cybernoid-ii-the-revenge	0001199
cybernoid-the-fighting-machine	0001196
cyberun	0009329
cycles-international-grand-prix-racing	0001205
cyclone	0001206
cylon-attack	0010607
cylu	0001210
cyrus	0001214
cyrus-ii-chess	0001213
d-day___	0001276
dalek-attack	0001481
daley-thompsons-decathlon	0001217
daley-thompsons-olympic-challenge	0001220
daley-thompsons-super-test	0001222
dam-busters	0001229
dan-dare-ii-mekons-revenge	0001238
dan-dare-iii-the-escape_	0001241
dan-dare-pilot-of-the-future	0001235
dandy	0001244
danger-mouse-in-double-trouble	0001247
danger-mouse-in-making-whoopee	0001248
danger-mouse-in-the-black-forest-chateau	0001249
darius	0001254
dark-empire	0001256
dark-fusion	0001257
dark-sceptre	0001259
dark-side	0001261
dark-star	0001263
darkest-road	0006146
darkman	0001266
davy-jones-locker	0006149
dawnssley	0001270
days-of-thunder	0001274
de-malle-muur	0002997
deactivators	0001278
dead-or-alive_	0001283
