mobygames_id	arcade_museum_id
special-forces-kung-fu-commando	9701
spelunker	9715
spelunker-ii-23-no-kagi	9716
spiders	9718
spinal-breakers	9723
splatterhouse	9728
springer_	9737
spy-hunter	9742
spy-hunter-ii	9743
spy-special-project-y	9391
srd-mission	9392
ss-mission	13467
stakes-winner-2	9751
stakes-winner-gi-kanzen-seiha-e-no-michi	9750
star-jacker	9764
star-trek-strategic-operations-simulator	9770
star-wars-the-empire-strikes-back__	7708
stargate	9780
steel-force	13472
steel-talons	9785
stocker	9789
stone-ball	9791
street-fighter-alpha-2	9804
street-fighter-ii-turbo	9812
street-football	9830
strike-force	9845
strike-gunner-stg	9846
strike-zone-baseball	9847
strikers-1945_	9848
stun-runner	9393
super-baseball-2020	6775
super-burgertime	9876
super-dodge-ball_	9888
super-hang-on	9901
super-high-impact	9903
super-monaco-gp	9919
super-puzzle-fighter-ii-turbo	9931
super-sidekicks	9939
super-sidekicks-2-the-world-championship	9940
super-sidekicks-3-the-next-glory	9941
super-sprint	9952
super-spy	9953
super-stingray	9954
super-volley-ball	9968
super-world-court	9969
super-xevious	9975
super-zaxxon	9976
superior-soldiers	17802
superman_____	9977
surprise-attack	9981
tacscan	10007
taitos-super-space-invaders	9945
tang-tang	13699
tank-force	10028
tapper	12839
targ	10034
tecmo-bowl	10043
teddy-boy	10048
teenage-mutant-ninja-turtles-turtles-in-time	10056
tehkan-world-cup	10057
tekken-tag-tournament	10063
terminator-2-judgment-day___	12756
tetris_atari	10081
tetris_sega	10082
thrash-rally	10087
three-stooges-in-brides-is-brides	12950
thunder-cross-ii	10099
thunder-dragon	10100
thunder-dragon-2	10101
thunder-fox	10103
thunder-hoop	10104
thunder-lightning	10092
thundercade	10107
thunderjaws	10106
tiger-road	10111
timber	10113
time-killers	10117
time-scanner	10122
time-soldiers	10123
time-soldiers	7041
toobin	10149
top-hunter-roddy-cathy	10154
top-speed	10161
total-carnage	10167
tough-turf	10172
tower-of-druaga	10178
toy-pop	10179
trog	10201
tron	10204
tropical-angel	10205
tumble-pop	10214
turbo-out-run	10218
twin-brats	18867
twin-eagle	10233
twin-eagle-ii-the-rescue-mission	10234
twin-falcons	10235
twinkle	13742
ultimate-11-snk-football-championship	10254
ultimate-tennis	10257
ultra-tank	10261
ultraman	10264
undercover-cops	10266
up-n-down	10273
us-championship-vball	10248
valkyrie-no-densetsu	10281
vandyke	10292
varia-metal	13323
varth-operation-thunderstorm	10297
vasara-	10298
vasara-2	10877
vendetta_	10300
venture	10301
victory	10306
viewpoint	10316
vindicators	10319
volfied	10345
voltage-fighter-gowcaizer	10347
wacko	10390
waku-waku-7	10392
war-of-aero-project-meiou	10399
warp-warp	10406
warrior-blade-rastan-saga-episode-iii-	10409
warriors-of-fate	10410
willow_	10437
windjammers	10441
wizard-fire 10458
wonder-boy	10463
wonder-boy-in-monster-land	10464
wonder-momo	10467
world-heroes	10475
world-heroes-2	10476
world-heroes-2-jet	10477
world-heroes-perfect	10478
wrestle-war	10493
wwf-superstars_	10387
wwf-wrestlefest	10388
wwf-wrestlemania__	10389
x-men___	10496
x-multiply	10495
xenon	10502
xenophobe	10503
xybots	10510
yam-yam	10511
yamato	10512
zaxxon	12757
zed-blade	10523
zektor	10524
zero-hour	10526
zero-point	10527
zero-point-2	11003
zing-zing-zip	10534
zodiack	10537
zombie-raid	10538
zoo-keeper_	10540
zunzunky-no-yab	10544
zupapa	10545
zwackery	10546
zzyzzyxx	10547
